tissue	E2F7	ELF4	ELK4	EMX2	ESR1	GATA2	GATA6	GLIS3	HIC2	HNF4G	HOXA13	HOXC10	HOXC6	IKZF1	IRF1	MAFF	MEOX2	MNX1	MYT1L	NR2F2	PTTG1	RUNX1	SALL1	SHOX2	SNAI2	SOX10	STAT1	TCF21	TP63	TWIST1
Spleen	-0.068341366	0.459814732	-0.234084876	-0.1061724	-0.10025269	-0.106178776	-0.087074623	-0.164849452	-0.124674286	-0.066010968	-0.096436469	-0.1175559	-0.134389172	0.706806367	0.73790607	-0.125439957	-0.070505057	-0.096795695	-0.069163836	-0.131627515	-0.029222044	0.02807145	-0.052038836	-0.093865718	-0.176118782	0.030873653	-0.03950335	0.009766816	-0.118138492	-0.139612097
Epithelium	-0.109075537	0.385675155	0.43757567	0.009056799	0.058014313	0.261503102	0.221826555	0.135301895	-0.068174919	-0.026731447	-0.062243172	0.073399095	0.200918798	0.165437553	0.270762034	0.66441372	0.337318559	-0.127045477	-0.434431213	0.23567979	-0.030888039	0.271262132	-0.156215518	0.103599981	0.246169254	-0.163428171	-0.093949561	0.286929643	0.513478913	0.168192797
Epithelium	0.053616673	0.106933729	0.257012866	-0.073907396	0.029849271	-0.039745056	-0.17094896	-0.238307598	-0.058235874	-0.062584174	0.009928034	0.107699007	0.051662614	-0.067474078	-0.062481974	0.211470565	-0.039880124	-0.078533761	-0.148851184	-0.125655321	0.108286296	0.113359475	-0.154268484	-0.03452245	0.203017995	-0.060375056	-0.057476687	-0.078255359	0.914105702	0.131159508
Epithelium	-0.100764508	0.395973643	0.036468847	-0.02661135	0.038774531	0.07258314	-0.00022066	-0.160509872	-0.223029369	0.151420595	0.009463385	0.281962247	0.028635485	0.453201313	0.558637157	0.071369612	0.042722621	-0.035498108	-0.370067529	0.07794728	-0.119344118	0.054992553	-0.102246665	-0.06759196	-0.077943839	-0.154409606	-0.066357273	0.189317715	-0.046113102	-0.125411736
Epithelium	-0.164636133	0.183064326	0.29322532	0.197006858	0.293701891	0.337835141	0.174268865	0.525456447	-0.16530948	-0.102721657	0.229793674	0.297801768	0.531842068	-0.107435883	-0.010484733	0.569794639	0.481267405	-0.273162963	-0.368496122	0.513323869	-0.225610808	0.454874703	0.112899834	0.576226028	0.666548626	0.074044614	0.092176751	0.218064194	-0.202920274	0.644838
Epithelium	-0.096300841	-0.085943107	-0.195844925	-0.022799673	-0.130201323	-0.116882336	-0.11639358	-0.092182375	0.225716059	0.567797085	-0.074656793	-0.162451838	-0.120191456	-0.063809336	-0.028582349	-0.263883846	-0.09389361	0.166600635	0.461882939	-0.176195256	-0.070203548	-0.185856274	0.00816801	-0.159245086	-0.243517351	0.047438948	-0.133611986	0.077831926	-0.179715501	-0.206407248
Epithelium	-0.032446822	0.492296154	0.206041242	-0.093614097	-0.034957773	0.06752256	0.122838067	-0.060642561	0.057101618	0.470908464	-0.034397519	-0.082576282	-0.039438953	0.745913748	0.698442544	-0.093575741	-0.066940916	0.101302589	-0.241334877	0.072701941	0.02819503	0.138717127	-0.095316866	-0.072570792	0.002829872	-0.162976509	0.003768318	0.34963435	-0.119749845	-0.090211725
Epithelium	-0.154209101	0.154458001	0.245691246	0.034991949	0.096882417	0.221509558	0.369881531	0.328123875	-0.22892826	-0.025552017	0.063164869	0.116655047	0.203033877	-0.119532775	-0.018883226	0.685897474	0.447079054	-0.055347736	-0.458735913	0.405186793	-0.186261454	0.312785862	-0.238183566	0.368956433	0.264198817	-0.149391292	-0.031124748	0.16379381	-0.103099515	0.329649788
Epithelium	0.086749764	0.209963309	0.285183405	0.028287459	0.080000963	0.24108584	0.021435771	0.059202662	0.441855357	0.307105895	0.122003155	-0.094539436	0.069750191	0.21126051	0.19219731	0.043250618	0.043543214	-0.105449227	-0.046212147	0.134597665	0.230089272	0.183860747	-0.06355944	0.061684524	0.159629188	0.039994744	0.066029958	0.360077448	-0.081077113	0.084374565
Epithelium	-0.055941137	0.535614139	0.537492729	0.078102515	0.287116717	0.364256635	0.129618882	0.212924265	-0.016765211	0.079375849	0.257262662	-0.219872419	-0.002532275	0.566484884	0.594990981	0.197966432	0.155139608	-0.065891617	-0.165838783	0.392559701	-0.111329983	0.199346724	0.031277953	-0.018397814	0.119007551	-0.067589206	0.008459635	0.420809685	0.068534982	-0.070401672
Tooth	-0.249948241	-0.09007463	0.076140481	0.188714834	0.174618174	0.178954924	0.410319227	0.478714042	-0.189502443	-0.202660483	0.086474995	0.160017031	0.341578887	-0.339579739	-0.311064354	0.50428329	0.366871519	-0.313727533	-0.235156035	0.488146888	-0.278292864	0.163385349	0.061018009	0.39822793	0.377209137	0.093348929	-0.081984766	0.126354216	-0.113001645	0.404903685
Tooth	-0.207878525	-0.037842497	0.072300588	0.297742256	0.063554289	0.352654231	0.110912634	0.466459356	-0.073748116	-0.051034384	-0.116403685	-0.006927543	0.144576464	-0.130871573	0.01922966	0.256571878	0.180410205	-0.031323768	-0.169682876	0.13967291	-0.201758911	0.122453677	0.306689699	-0.100921783	-0.006102151	-0.037735976	-0.138716137	0.372132975	-0.16601246	-0.04646015
Tooth	-0.11723344	0.360185414	0.259328712	0.289928038	0.314258779	0.399542478	0.613681026	0.536588564	0.036808049	-0.025899411	0.234524958	0.145856235	0.563605204	0.007019202	0.07838544	0.432824829	0.126375254	-0.156671858	-0.359991135	0.73965363	-0.152811292	0.307615103	0.001160412	0.220153801	0.594208871	-0.135100165	0.045042887	0.5347923	-0.076517282	0.424118169
Tooth	0.081511577	-0.328258124	-0.214777127	0.040136339	0.024334421	-0.045876576	-0.114736998	-0.056680534	0.761336014	-0.006690974	-0.028017916	-0.210318962	-0.180392946	-0.198119387	-0.211644674	-0.363828016	-0.242575346	0.088531357	0.385481928	-0.190706012	0.459949673	-0.277394881	0.104408246	-0.065708302	-0.231680144	0.004424509	-0.16124083	-0.174588035	-0.159160361	-0.15125285
Tooth	-0.196224211	0.171568326	0.420514637	0.465507557	0.571706964	0.60588484	0.24796836	0.467776097	-0.027606866	-0.177925904	0.387495081	-0.060391037	0.285546665	-0.130254691	-0.019618277	0.643396998	0.469588445	-0.289007479	-0.445379372	0.687413592	-0.183878533	0.229817809	0.157958203	0.339652877	0.469981437	0.073029985	-0.089329587	0.298944218	-0.035311231	0.325526166
Tooth	-0.155323016	-0.044484379	0.013019048	0.006852252	0.140588932	0.037435378	0.288908183	0.241357125	0.177647767	0.252463436	0.069547286	-0.23534974	0.011760367	-0.152930287	-0.019560234	-0.021665669	0.077857386	0.262613465	-0.144888808	0.274138304	-0.048933664	-0.097131071	0.252964926	-0.039947403	-0.110999187	0.098338908	-0.196275973	0.149097546	-0.260643807	-0.185686717
Tooth	-0.052063143	0.26716383	0.457781126	0.062714717	0.133293432	0.141081504	0.003499873	-0.070903612	-0.053312498	0.021618745	0.119290303	0.191522424	0.243174753	-0.039077799	0.030455039	0.467847794	0.208341874	-0.075242922	-0.308773012	0.1369019	0.009586042	0.22578699	-0.160299991	0.154384076	0.353686582	-0.04191437	-0.079634558	0.036897205	0.833843729	0.25251552
